,year,make,model,trim,body,transmission,state,condition,odometer,color,interior,seller,mmr,saledate
count,111767.0,111767.0,111767.0,111767.0,111767.0,111767.0,111767.0,111767.0,111767.0,111767.0,111767.0,111767.0,111767.0,111767.0
mean,25.365456709046498,21.51274526470246,329.9417985630821,803.1667128937879,30.519563019495916,0.0333819463705745,14.256041586514803,0.6031213372462355,0.07415853292831821,9.64372310252579,4.611316399294962,3613.659926454141,0.08096874907098506,743.7170452817021
std,4.2505296243008885,15.512102971667131,210.22117678899446,373.35621063109267,7.610059495467764,0.1796326271415569,11.06786706584301,0.2736636215511555,0.05751332198832754,7.070330750334236,4.7962072537645195,2069.1008698418345,0.06025255252278158,423.237840763903
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,22.0,10.0,162.0,483.0,33.0,0.0,4.0,0.4583333333333333,0.02883305766611533,2.0,1.0,2163.0,0.035515209428252904,333.0
50%,27.0,17.0,281.0,841.0,34.0,0.0,12.0,0.6666666666666666,0.05936611873223746,7.0,1.0,3343.0,0.07278229017359453,762.0
75%,29.0,33.0,502.0,1055.0,34.0,0.0,26.0,0.7916666666666666,0.10950821901643804,16.0,6.0,5317.0,0.10941232680363115,1033.0
max,31.0,93.0,890.0,1691.0,42.0,1.0,35.0,0.9999999999999999,0.9999999999999999,20.0,16.0,7306.0,0.9999999999999999,1635.0
